biog_id	x姓名	성명	name	alt_name	alt_name2	姓貫	office	reference	vol	page	side	notes
C206438	權幸	권행	Kwŏn Haeng	權行		安東 權	三韓壁上功臣 三重大匡 太師	安東權氏成化譜	1	1	a	
C206439	權仁幸	권인행	Kwŏn Inhaeng			安東 權	郎中	安東權氏成化譜	1	1	a	
C206441	權冊	권책	Kwŏn Ch'aek			安東 權	戶長正朝	安東權氏成化譜	1	1	a	
C206442	權均漢	권균한	Kwŏn Kyunhan			安東 權	右一品別將	安東權氏成化譜	1	1	a	
C206443	權子彭	권자팽	Kwŏn Chap'aeng			安東 權	戶長正朝	安東權氏成化譜	1	1	a	
C206444	權先蓋	권선개	Kwŏn Sŏn'gae			安東 權	戶長同正 翼牙校尉	安東權氏成化譜	1	1	a	
C206445	權廉	권렴	Kwŏn Ryŏm			安東 權	戶長同正 行陪戎校尉	安東權氏成化譜	1	1	a	
C206446	權利輿	권이여	Kwŏn Iyŏ			安東 權	戶長	安東權氏成化譜	1	1	a	
D206447	權仲時	권중시	Kwŏn Chungsi			安東 權	保勝別將 副戶長中允	安東權氏成化譜	1	1	a	
D206448	權就宜	권취의	Kwŏn Ch'wiŭi			安東 權	戶長	安東權氏成化譜	1	1	a	
D206449	權通	권통	Kwŏn T'ong			安東 權	戶長	安東權氏成化譜	1	1	a	
D206450	權守平	권수평	Kwŏn Sup'yŏng			安東 權	樞密院副使	安東權氏成化譜	1	1	a	
D206451	權韙	권위	Kwŏn Wi			安東 權	判太僕寺事 翰林學士	安東權氏成化譜	1	1	a	
D206452	權㫜	권단	Kwŏn Tan			安東 權	贊成事	安東權氏成化譜	1	1	a	
D206454	金軌	김연성	Kim Yŏnsŏng	金鍊成		慶州 金	僕射	安東權氏成化譜	1	1	a	
D206457	權仁紀	권인기	Kwŏn In'gi			安東 權	少尹	安東權氏成化譜	1	1	a	
D206458	權英運	권영운	Kwŏn Yŏngun			安東 權	 	安東權氏成化譜	1	1	a	
D206459	權方紀	권방기	Kwŏn Panggi			安東 權	 	安東權氏成化譜	1	1	a	
D206460	權之紀	권지기	Kwŏn Chigi			安東 權	僕射	安東權氏成化譜	1	1	a	
D206461	權瑩	권영	Kwŏn Yŏng			安東 權	 	安東權氏成化譜	1	1	a	
D206462	權評	권평	Kwŏn P'yŏng			安東 權	 	安東權氏成化譜	1	1	a	
D206463	權次平	권차평	Kwŏn Ch'ap'yŏng			安東 權	精勇別將 食祿正	安東權氏成化譜	1	1	a	
D206464	權性源	권성원	Kwŏn Sŏngwŏn	權達元		安東 權	大禪師	安東權氏成化譜	1	1	a	
D400070	權溥	권부	Kwŏn Pu	權永		安東 權	領都僉議 永嘉府院君	安東權氏成化譜	1	1	a	
D206465	權守洪	권수홍	Kwŏn Suhong			安東 權	副戶長	安東權氏成化譜	1	1	b	
D206466	權子輿	권자여	Kwŏn Chayŏ			安東 權	檢校大護軍	安東權氏成化譜	1	1	b	
D206467	權頙	권책	Kwŏn Ch'aek	權允宜		安東 權	僉議評理	安東權氏成化譜	1	1	b	
D206469	權漢功	권한공	Kwŏn Han'gong			安東 權	都僉議政丞 醴泉府院君	安東權氏成化譜	1	1	b	
D206472	權漢有	권한유	Kwŏn Hanyu			安東 權	平章事 門下平章 都評議司事	安東權氏成化譜	1	1	b	
D206474	權允平	권윤평	Kwŏn Yunp'yŏng	權允成		安東 權		安東權氏成化譜	1	1	b	
D206475	權具	권구	Kwŏn Ku			安東 權	護軍	安東權氏成化譜	1	1	b	
D206477	權重	권중	Kwŏn Chung			安東 權	中門祗候	安東權氏成化譜	1	1	b	
D206478	權萬	권만	Kwŏn Man				進士	安東權氏成化譜	1	1	b	
D206480	權允保	권윤보	Kwŏn Yunbo	權允仁		安東 權	中門祗候	安東權氏成化譜	1	1	b	
D206481	權泂	권형	Kwŏn Hyŏng			安東 權	及第	安東權氏成化譜	1	1	b	
D206482	權演	권연	Kwŏn Yŏn			安東 權	忠州判官	安東權氏成化譜	1	1	b	
D206483	姜昌貴	강창귀	Kang Ch'anggwi			晋州 姜	侍中	安東權氏成化譜	1	1	b	
D206485	權確	권확	Kwŏn Hwak	權憺		安東 權	令同正	安東權氏成化譜	1	1	b	
D206486	李五椿	이오춘	Yi Och'un				典客	安東權氏成化譜	1	1	b	
D206488	權珥	권이	Kwŏn I			安東 權	禮賓卿	安東權氏成化譜	1	1	b	
D206489	權居南	권거남	Kwŏn Kŏnam	權約		安東 權	奉翊	安東權氏成化譜	1	1	b	
D206490	權祖如	권조여	Kwŏn Choyŏ			安東 權	三重	安東權氏成化譜	1	1	b	
D206491	權份	권빈	Kwŏn Pin			安東 權	中門祗候	安東權氏成化譜	1	1	b	
D206492	權德秀	권덕수	Kwŏn Tŏksu			安東 權	 	安東權氏成化譜	1	1	b	
D206493	權用一	권용일	Kwŏn Yongil			安東 權	郎將	安東權氏成化譜	1	1	b	
D206495	權咸	권함	Kwŏn Ham	權成			令同正	安東權氏成化譜	1	1	b	
D206497	孫洪祐	손홍우	Son Hongu			一直 孫	 	安東權氏成化譜	1	1	b	
D206499	金允侃	김윤간	Kim Yun'gan			原州 金	衛尉寺主簿	安東權氏成化譜	1	1	b	
D206501	金時寶	김시보	Kim Sibo			原州 金	密成	安東權氏成化譜	1	1	b	
D206502	金良信	김양신	Kim Yangsin			原州 金	五尉	安東權氏成化譜	1	1	b	
D206503	金鼎臣	김정신	Kim Chŏngsin			原州 金	令同正	安東權氏成化譜	1	1	b	
D206504	金景流	김경류	Kim Kyŏngnyu			原州 金	禪師	安東權氏成化譜	1	1	b	
D206505	金用珠	김용주	Kim Yongju			原州 金	大選	安東權氏成化譜	1	2	a	
D206506	曹誼	조의	Cho Ŭi				 	安東權氏成化譜	1	2	a	
D206508	權莅	권리	Kwŏn Ri	權荏			 	安東權氏成化譜	1	2	a	
D206510	金資	김자	Kim Cha			原州 金	錄事	安東權氏成化譜	1	2	a	
D206511	方乞	방걸	Pang Kŏl			溫陽 方	戶長	安東權氏成化譜	1	2	a	
D206513	張茂	장무	Chang Mu				戶長	安東權氏成化譜	1	2	a	
D206515	姜希京	강희경	Kang Hŭigyŏng				隊正	安東權氏成化譜	1	2	a	
D206517	權良俊	권양준	Kwŏn Yangjun	權俊良		安東 權	戶長 二品別將	安東權氏成化譜	1	2	a	
D206519	權精	권정	Kwŏn Chŏng	權粹		安東 權	正位 戶長	安東權氏成化譜	1	2	a	
D206520	權奕	권혁	Kwŏn Hyŏk			安東 權	及第 贈吏曹參判	安東權氏成化譜	1	2	a	
D206521	金利堅	김이견	Kim Igyŏn				戶長	安東權氏成化譜	1	2	a	
D206523	權美	권미	Kwŏn Mi				戶長	安東權氏成化譜	1	2	a	
D206525	權景	권경	Kwŏn Kyŏng				 	安東權氏成化譜	1	2	a	
D206526	金譿	김혜	Kim Hye				直長	安東權氏成化譜	1	2	a	
D206528	權棣和	권체화	Kwŏn Ch'ehwa			安東 權	京校尉	安東權氏成化譜	1	2	a	
D206529	權傅	권부	Kwŏn Pu	權法史		安東 權	 	安東權氏成化譜	1	2	a	
D206530	權得元	권득원	Kwŏn Tŭgwŏn	權大莊		安東 權	禪師	安東權氏成化譜	1	2	a	
D206531	權英正	권영정	Kwŏn Yŏngjŏng			安東 權	戶長	安東權氏成化譜	1	2	a	
D206532	權均柱	권균주	Kwŏn Kyunju	權桂		安東 權	 	安東權氏成化譜	1	2	a	
D206533	權均碩	권균석	Kwŏn Kyunsŏk			安東 權	戶長	安東權氏成化譜	1	2	a	
D206534	權直成	권직성	Kwŏn Chiksŏng			安東 權	戶長 大相	安東權氏成化譜	1	2	a	
D206535	權伯	권백	Kwŏn Paek			安東 權	 	安東權氏成化譜	1	2	a	
D206537	權呂	권여	Kwŏn Yŏ			安東 權	 	安東權氏成化譜	1	2	a	
D206538	權允諧	권윤해	Kwŏn Yunhae			安東 權	 	安東權氏成化譜	1	2	a	
D206794	萬年	만년	Man Nyŏn				 	安東權氏成化譜	1	2	a	
D206796	允文	윤문	Yun Mun				 	安東權氏成化譜	1	2	a	
D206797	金碁	김기	Kim Ki				 	安東權氏成化譜	1	2	a	
D206871	忠肅王	충숙왕	Ch'ung Sugwang	王卍		開城 王		安東權氏成化譜	1	2	b	
D206873	忠惠王	충혜왕	Ch'ung Hyewang	王禎		開城 王		安東權氏成化譜	1	2	b	
D400343	元龜壽	원구수	Wŏn Kusu			原州 元	宰臣	安東權氏成化譜	1	2	b	
D400365	元松壽	원송수	Wŏn Songsu			原州 元	政堂文學	安東權氏成化譜	1	2	b	
D400429	權鑄	권주	Kwŏn Chu			安東 權	密直提學	安東權氏成化譜	1	2	b	
D401000	廉大侑	염대유	Yŏm Taeyu	廉大有		瑞原 廉	密直	安東權氏成化譜	1	2	b	
D401422	柳惠孫	유혜손	Yu Hyeson	柳惠蓀		晋州 柳	評理	安東權氏成化譜	1	2	b	
D401439	權廉	권렴	Kwŏn Ryŏm	權衡		安東 權	贊成事 玄福君	安東權氏成化譜	1	2	b	
D401564	吳仲和	오중화	O Chunghwa				僕射	安東權氏成化譜	1	2	b	
D401698	廉國寶	염국보	Yŏm Kukpo			瑞原 廉	判開城府事 曲城君	安東權氏成化譜	1	2	b	The 字(2.27) reference is wrong. The reference should be to 被(3.27).
D402052	權鎬	권호	Kwŏn Ho			安東 權	判厚德府事	安東權氏成化譜	1	2	b	
D402197	權準	권준	Kwŏn Chun			安東 權	吉昌府院君	安東權氏成化譜	1	2	b	
D402198	權鏞	권용	Kwŏn Yong	權鎰		安東 權	玄城君	安東權氏成化譜	1	2	b	
D402211	普達實理	보달실리	Po Talsilli				翰林承旨	安東權氏成化譜	1	2	b	
D402227	權鉉	권현	Kwŏn Hyŏn			安東 權	贊成事	安東權氏成化譜	1	2	b	
D402248	權鈞	권균	Kwŏn Kyun			安東 權	花山君	安東權氏成化譜	1	2	b	
D402259	權迪	권적	Kwŏn Chŏk	權適		安東 權	贊成事 吉昌君	安東權氏成化譜	1	2	b	
D402261	韓脩	한수	Han Su			淸州 韓	判厚德府事	安東權氏成化譜	1	2	b	
D402274	權顯	권현	Kwŏn Hyŏn			安東 權	密直	安東權氏成化譜	1	2	b	
D402279	洪鐸	홍탁	Hong T'ak			南陽 洪	益城府院君	安東權氏成化譜	1	2	b	
D402280	洪尙載	홍상재	Hong Sangjae			南陽 洪	贊成	安東權氏成化譜	1	2	b	
D402285	洪惠贊	홍혜찬	Hong Hyech'an			南陽 洪	大禪師	安東權氏成化譜	1	2	b	
D402288	趙興門	조흥문	Cho Hŭngmun	趙日新		平壤 趙	少府尹	安東權氏成化譜	1	2	b	
D402289	洪開道	홍개도	Hong Kaedo			南陽 洪	代言	安東權氏成化譜	1	2	b	
D402290	洪昌道	홍창도	Hong Ch'angdo			南陽 洪	 	安東權氏成化譜	1	2	b	
D200005	洪師瑗	홍사원	Hong Sawŏn			南陽 洪	判書	安東權氏成化譜	1	3	a	
D200028	楊之壽	양지수	Yang Chisu			淸州 楊	贊成書	安東權氏成化譜	1	3	a	
D201678	安景	안경	An Kyŏng			竹山 安	少監	安東權氏成化譜	1	3	a	
D201738	崔仁富	최인부	Ch'oe Inbu			大寧 崔	大護軍	安東權氏成化譜	1	3	a	
D201776	鄭修道	정수도	Chŏng Sudo			草溪 鄭	判書	安東權氏成化譜	1	3	a	
D400443	鄭思道	정사도	Chŏng Sado	鄭良弼		延日 鄭	政堂	安東權氏成化譜	1	3	a	
D400727	安國瑞	안국서	An Kuksŏ			竹山 安		安東權氏成化譜	1	3	a	
D401075	柳淵	유연	Yu Yŏn			晋州 柳	贊成	安東權氏成化譜	1	3	a	
D401077	洪彦博	홍언박	Hong Ŏnbak			南陽 洪	右政丞	安東權氏成化譜	1	3	a	
D401808	李齊賢	이제현	Yi Chehyŏn	李之公		慶州 李	政丞 雞林府院君	安東權氏成化譜	1	3	a	
D402175	洪師範	홍사범	Hong Sabŏm			南陽 洪	知密直	安東權氏成化譜	1	3	a	
D402303	洪師普	홍사보	Hong Sabo			南陽 洪		安東權氏成化譜	1	3	a	
D402313	洪師禹	홍사우	Hong Sau			南陽 洪	知密直	安東權氏成化譜	1	3	a	
D402327	安惟忠	안유충	An Yuch'ung			竹山 安	判書	安東權氏成化譜	1	3	a	
D402328	安國祥	안국상	An Kuksang			竹山 安	寺丞	安東權氏成化譜	1	3	a	
D402334	金珠慶	김주경	Kim Chugyŏng			安山 金	判書	安東權氏成化譜	1	3	a	
D402335	金利	김리	Kim Ri	金利用		安山 金	別將	安東權氏成化譜	1	3	a	
D402338	柳季高	유계고	Yu Kyego			文化 柳	祗候	安東權氏成化譜	1	3	a	
D402340	王瑜	왕유	Wang Yu			開城 王	永昌大君	安東權氏成化譜	1	3	a	
