kind	severity	message	ids	names	vol	leaf	side
self-loop	error	韓致禮 is recorded as his own son.	E103584; E103584	韓致禮; 韓致禮	3	25	a
surname-mismatch	warning	萬年 → 允文: father and son are printed under different surnames.	D206794; D206796	萬年; 允文	1	2	a
surname-mismatch	warning	權溥 → 王煦: father and son are printed under different surnames.	D400070; D402516	權溥; 王煦	1	4	a
surname-mismatch	warning	王重貴 → 權肅: father and son are printed under different surnames.	D401991; E400102	王重貴; 權肅	1	4	a
surname-mismatch	warning	王重貴 → 權嚴: father and son are printed under different surnames.	D401991; E401990	王重貴; 權嚴	1	4	a
surname-mismatch	warning	王重貴 → 權道: father and son are printed under different surnames.	D401991; E402538	王重貴; 權道	1	4	a
surname-mismatch	warning	尙載 → 權法和: father and son are printed under different surnames.	D402547; E402548	尙載; 權法和	1	4	a
surname-mismatch	warning	普達實理 → 拾得驢: father and son are printed under different surnames.	D402211; D402212	普達實理; 拾得驢	1	12	a
surname-mismatch	note	義昌君 → 蛇山君: one name is a royal title rather than a surname.	E901493; E501230	義昌君; 蛇山君	1	21	a
surname-mismatch	note	安平大君 → 宜春君: one name is a royal title rather than a surname.	E903094; E903095	安平大君; 宜春君	1	23	a
surname-mismatch	note	曺變隆 → 曹九叙: graphic variant of the same surname.	E104221; E802607	曺變隆; 曹九叙	1	32	a
surname-mismatch	note	曹九叙 → 曺繼虞: graphic variant of the same surname.	E802607; E805626	曹九叙; 曺繼虞	1	32	a
surname-mismatch	note	朝鮮 世宗 → 壽春君: one name is a royal title rather than a surname.	E300371; E201004	朝鮮 世宗; 壽春君	1	51	b
surname-mismatch	warning	李伯林 → 韓發: father and son are printed under different surnames.	E300848; EB00959	李伯林; 韓發	3	3	b
surname-mismatch	note	朝鮮 孝寧大君 → 李寀: one name is a royal title rather than a surname.	E203048; E905070	朝鮮 孝寧大君; 李寀	3	17	b
surname-mismatch	note	朝鮮 孝寧大君 → 李𡩁: one name is a royal title rather than a surname.	E203048; E203046	朝鮮 孝寧大君; 李𡩁	3	17	b
surname-mismatch	note	朝鮮 孝寧大君 → 李容: one name is a royal title rather than a surname.	E203048; E905082	朝鮮 孝寧大君; 李容	3	18	a
surname-mismatch	note	朝鮮 孝寧大君 → 李密: one name is a royal title rather than a surname.	E203048; E901150	朝鮮 孝寧大君; 李密	3	18	b
surname-mismatch	note	朝鮮 孝寧大君 → 李定: one name is a royal title rather than a surname.	E203048; E905094	朝鮮 孝寧大君; 李定	3	18	b
surname-mismatch	note	朝鮮 孝寧大君 → 李宜: one name is a royal title rather than a surname.	E203048; E905096	朝鮮 孝寧大君; 李宜	3	18	b
surname-mismatch	warning	金有慶 → 閔乙巽: father and son are printed under different surnames.	EA03463; EA03465	金有慶; 閔乙巽	3	23	b
surname-mismatch	warning	申繼性 → 辛碩敦: father and son are printed under different surnames.	EC02553; EC02556	申繼性; 辛碩敦	3	38	a
surname-mismatch	note	李終生 → 鳳城君: one name is a royal title rather than a surname.	E401258; EA01147	李終生; 鳳城君	3	46	b
surname-mismatch	note	鳳城君 → 李增: one name is a royal title rather than a surname.	EA01147; EA01148	鳳城君; 李增	3	46	b
surname-mismatch	note	曺尙林 → 曹命壽: graphic variant of the same surname.	E807965; E401223	曺尙林; 曹命壽	3	59	b
surname-mismatch	note	李璆 → 龜城君: one name is a royal title rather than a surname.	E300036; E101394	李璆; 龜城君	3	60	a
surname-mismatch	note	裵尙志 → 裴權: graphic variant of the same surname.	D400124; E900477	裵尙志; 裴權	3	65	a
surname-mismatch	note	裵桓 → 裴孝從: graphic variant of the same surname.	E401878; E900539	裵桓; 裴孝從	3	65	a
surname-mismatch	note	裵桓 → 裴孝存: graphic variant of the same surname.	E401878; E900550	裵桓; 裴孝存	3	65	a
surname-mismatch	note	裵尙志 → 裴楠: graphic variant of the same surname.	D400124; E900484	裵尙志; 裴楠	3	65	b
surname-mismatch	note	裵桓 → 裴孝崇: graphic variant of the same surname.	E401878; E900567	裵桓; 裴孝崇	3	65	b
surname-mismatch	note	裵桓 → 裴孝騫: graphic variant of the same surname.	E401878; E900573	裵桓; 裴孝騫	3	65	b
surname-mismatch	note	裵桓 → 裴孝思: graphic variant of the same surname.	E401878; E900583	裵桓; 裴孝思	3	65	b
surname-mismatch	note	裵尙志 → 裴杠: graphic variant of the same surname.	D400124; E900701	裵尙志; 裴杠	3	66	a
choronym-inferred	note	王重貴 has no choronym in the print; it was inferred as 安東 權 from the surrounding patriline (within five father-son steps).	D401991	王重貴	1	4	a
choronym-inferred	note	王煦 has no choronym in the print; it was inferred as 安東 權 from the surrounding patriline (within five father-son steps).	D402516	王煦	1	4	a
choronym-inferred	note	尙載 has no choronym in the print; it was inferred as 安東 權 from the surrounding patriline (within five father-son steps).	D402547	尙載	1	4	a
choronym-inferred	note	權法和 has no choronym in the print; it was inferred as 安東 權 from the surrounding patriline (within five father-son steps).	E402548	權法和	1	4	a
choronym-inferred	note	鄭汝諧 has no choronym in the print; it was inferred as 草溪 鄭 from the surrounding patriline (within five father-son steps).	D206683	鄭汝諧	1	6	b
choronym-inferred	note	潘義 has no choronym in the print; it was inferred as 臣濟 潘 from the surrounding patriline (within five father-son steps).	D206695	潘義	1	6	b
choronym-inferred	note	權復徑 has no choronym in the print; it was inferred as 安東 權 from the surrounding patriline (within five father-son steps).	D206774	權復徑	1	7	b
choronym-inferred	note	金復恒 has no choronym in the print; it was inferred as 尙州 金 from the surrounding patriline (within five father-son steps).	E802367	金復恒	1	9	a
choronym-inferred	note	盧處均 has no choronym in the print; it was inferred as 光州 盧 from the surrounding patriline (within five father-son steps).	E802420	盧處均	1	9	a
choronym-inferred	note	朴菖 has no choronym in the print; it was inferred as 咸陽 朴 from the surrounding patriline (within five father-son steps).	E802419	朴菖	1	9	b
choronym-inferred	note	權石童 has no choronym in the print; it was inferred as 安東 權 from the surrounding patriline (within five father-son steps).	E103265	權石童	1	11	a
choronym-inferred	note	梁淑 has no choronym in the print; it was inferred as 南原 梁 from the surrounding patriline (within five father-son steps).	E701455	梁淑	1	16	a
choronym-inferred	note	趙終生 has no choronym in the print; it was inferred as 楊州 趙 from the surrounding patriline (within five father-son steps).	E400651	趙終生	1	17	a
choronym-inferred	note	李福重 has no choronym in the print; it was inferred as 全州 李 from the surrounding patriline (within five father-son steps).	E804435	李福重	1	17	b
choronym-inferred	warning	李石柱 has no choronym in the print; the surrounding patriline gives more than one candidate (德山 李, 慶州 李), and the first is used as the primary.	E101202	李石柱	1	18	b
choronym-inferred	warning	李石梁 has no choronym in the print; the surrounding patriline gives more than one candidate (德山 李, 慶州 李), and the first is used as the primary.	E101205	李石梁	1	18	b
choronym-inferred	note	金勉 has no choronym in the print; it was inferred as 延安 金 from the surrounding patriline (within five father-son steps).	E205127	金勉	1	21	a
choronym-inferred	note	李炯 has no choronym in the print; it was inferred as 星州 李 from the surrounding patriline (within five father-son steps).	E101857	李炯	1	21	b
choronym-inferred	note	鄭孝全 has no choronym in the print; it was inferred as 延日 鄭 from the surrounding patriline (within five father-son steps).	E902979	鄭孝全	1	21	b
choronym-inferred	note	李師純 has no choronym in the print; it was inferred as 星州 李 from the surrounding patriline (within five father-son steps).	E902989	李師純	1	21	b
choronym-inferred	note	趙孟俊 has no choronym in the print; it was inferred as 白川 趙 from the surrounding patriline (within five father-son steps).	E903072	趙孟俊	1	22	b
choronym-inferred	note	鄭濡 has no choronym in the print; it was inferred as 延日 鄭 from the surrounding patriline (within five father-son steps).	E400827	鄭濡	1	23	a
choronym-inferred	note	崔楣 has no choronym in the print; it was inferred as 江陵 崔 from the surrounding patriline (within five father-son steps).	E903084	崔楣	1	23	a
choronym-inferred	note	崔孟思 has no choronym in the print; it was inferred as 全州 崔 from the surrounding patriline (within five father-son steps).	E501409	崔孟思	1	25	a
choronym-inferred	note	李智長 has no choronym in the print; it was inferred as 全義 李 from the surrounding patriline (within five father-son steps).	EC02225	李智長	1	28	b
choronym-inferred	note	韓繼禧 has no choronym in the print; it was inferred as 淸州 韓 from the surrounding patriline (within five father-son steps).	E300257	韓繼禧	1	29	b
choronym-inferred	note	韓孝孫 has no choronym in the print; it was inferred as 淸州 韓 from the surrounding patriline (within five father-son steps).	E805416	韓孝孫	1	29	b
choronym-inferred	note	李胤賢 has no choronym in the print; it was inferred as 河濱 李 from the surrounding patriline (within five father-son steps).	E104081	李胤賢	1	30	a
choronym-inferred	note	任孝恭 has no choronym in the print; it was inferred as 豊川 任 from the surrounding patriline (within five father-son steps).	E104093	任孝恭	1	30	a
choronym-inferred	note	任孝忠 has no choronym in the print; it was inferred as 豊川 任 from the surrounding patriline (within five father-son steps).	E902158	任孝忠	1	30	a
choronym-inferred	note	任孝仁 has no choronym in the print; it was inferred as 豊川 任 from the surrounding patriline (within five father-son steps).	E104101	任孝仁	1	30	b
choronym-inferred	note	任孝明 has no choronym in the print; it was inferred as 豊川 任 from the surrounding patriline (within five father-son steps).	E104114	任孝明	1	30	b
choronym-inferred	note	朴惟仁 has no choronym in the print; it was inferred as 密陽 朴 from the surrounding patriline (within five father-son steps).	E104168	朴惟仁	1	31	a
choronym-inferred	note	朴恒 has no choronym in the print; it was inferred as 密陽 朴 from the surrounding patriline (within five father-son steps).	E102260	朴恒	1	31	b
choronym-inferred	note	朴長孫 has no choronym in the print; it was inferred as 密陽 朴 from the surrounding patriline (within five father-son steps).	EB03089	朴長孫	1	31	b
choronym-inferred	note	安慶會 has no choronym in the print; it was inferred as 順興 安 from the surrounding patriline (within five father-son steps).	E904122	安慶會	1	33	a
choronym-inferred	note	李思儉 has no choronym in the print; it was inferred as 陽城 李 from the surrounding patriline (within five father-son steps).	E104394	李思儉	1	35	a
choronym-inferred	note	李仍 has no choronym in the print; it was inferred as 陽城 李 from the surrounding patriline (within five father-son steps).	E104440	李仍	1	36	a
choronym-inferred	note	姜眉壽 has no choronym in the print; it was inferred as 晋州 姜 from the surrounding patriline (within five father-son steps).	E104444	姜眉壽	1	36	a
choronym-inferred	note	李啓基 has no choronym in the print; it was inferred as 星州 李 from the surrounding patriline (within five father-son steps).	E102383	李啓基	1	36	b
choronym-inferred	note	韓[日+耆] has no choronym in the print; it was inferred as 淸州 韓 from the surrounding patriline (within five father-son steps).	7a00ba1c-ab88-42b6-8c93-360e0ed2f27a	韓[日+耆]	1	37	a
choronym-inferred	note	金億之 has no choronym in the print; it was inferred as 淸風 金 from the surrounding patriline (within five father-son steps).	E104507	金億之	1	37	a
choronym-inferred	note	金寬 has no choronym in the print; it was inferred as 延安 金 from the surrounding patriline (within five father-son steps).	E104562	金寬	1	38	a
choronym-inferred	note	尹培 has no choronym in the print; it was inferred as 坡平 尹 from the surrounding patriline (within five father-son steps).	E104654	尹培	1	39	b
choronym-inferred	note	權漢生 has no choronym in the print; it was inferred as 安東 權 from the surrounding patriline (within five father-son steps).	E104727	權漢生	1	39	b
choronym-inferred	note	金仍 has no choronym in the print; it was inferred as 延安 金 from the surrounding patriline (within five father-son steps).	E104739	金仍	1	39	b
choronym-inferred	note	廉致 has no choronym in the print; it was inferred as 瑞原 廉 from the surrounding patriline (within five father-son steps).	E104822	廉致	1	40	b
choronym-inferred	note	黃沚 has no choronym in the print; it was inferred as 懷德 黃 from the surrounding patriline (within five father-son steps).	EB04102	黃沚	1	41	b
choronym-inferred	note	鄭允惐 has no choronym in the print; it was inferred as 草溪 鄭 from the surrounding patriline (within five father-son steps).	EB02899	鄭允惐	1	43	b
choronym-inferred	note	鄭譓 has no choronym in the print; it was inferred as 草溪 鄭 from the surrounding patriline (within five father-son steps).	EB02904	鄭譓	1	43	b
choronym-inferred	note	鄭允懽 has no choronym in the print; it was inferred as 草溪 鄭 from the surrounding patriline (within five father-son steps).	EB02929	鄭允懽	1	43	b
choronym-inferred	note	趙把生 has no choronym in the print; it was inferred as 白川 趙 from the surrounding patriline (within five father-son steps).	EB02935	趙把生	1	43	b
choronym-inferred	note	柳晡 has no choronym in the print; it was inferred as 文化 柳 from the surrounding patriline (within five father-son steps).	E400822	柳晡	1	44	a
choronym-inferred	note	洪忻 has no choronym in the print; it was inferred as 南陽 洪 from the surrounding patriline (within five father-son steps).	E903983	洪忻	1	44	a
choronym-inferred	note	洪達孫 has no choronym in the print; it was inferred as 南陽 洪 from the surrounding patriline (within five father-son steps).	EB02996	洪達孫	1	44	a
choronym-inferred	note	洪洽 has no choronym in the print; it was inferred as 豊山 洪 from the surrounding patriline (within five father-son steps).	EB01779	洪洽	1	45	a
choronym-inferred	note	具文靖 has no choronym in the print; it was inferred as 綾城 具 from the surrounding patriline (within five father-son steps).	EB03299	具文靖	1	47	a
choronym-inferred	note	閔解 has no choronym in the print; it was inferred as 驪興 閔 from the surrounding patriline (within five father-son steps).	EB03328	閔解	1	47	b
choronym-inferred	note	李仲孫 has no choronym in the print; it was inferred as 龍仁 李 from the surrounding patriline (within five father-son steps).	E000766	李仲孫	1	48	a
choronym-inferred	note	李末孫 has no choronym in the print; it was inferred as 龍仁 李 from the surrounding patriline (within five father-son steps).	E000769	李末孫	1	48	a
choronym-inferred	note	許之惠 has no choronym in the print; it was inferred as 河陽 許 from the surrounding patriline (within five father-son steps).	D200013	許之惠	1	49	b
choronym-inferred	note	李躋 has no choronym in the print; it was inferred as 全州 李 from the surrounding patriline (within five father-son steps).	E200320	李躋	1	49	b
choronym-inferred	note	鄭洲 has no choronym in the print; it was inferred as 草溪 鄭 from the surrounding patriline (within five father-son steps).	E201849	鄭洲	1	56	b
choronym-inferred	note	鄭洧 has no choronym in the print; it was inferred as 草溪 鄭 from the surrounding patriline (within five father-son steps).	E201916	鄭洧	1	56	b
choronym-inferred	note	趙弘道 has no choronym in the print; it was inferred as 橫城 趙 from the surrounding patriline (within five father-son steps).	E402388	趙弘道	2	2	a
choronym-inferred	note	尹愼德 has no choronym in the print; it was inferred as 坡平 尹 from the surrounding patriline (within five father-son steps).	E700605	尹愼德	2	2	a
choronym-inferred	note	閔不貪 has no choronym in the print; it was inferred as 驪興 閔 from the surrounding patriline (within five father-son steps).	E202482	閔不貪	2	3	a
choronym-inferred	note	洪深 has no choronym in the print; it was inferred as 南陽 洪 from the surrounding patriline (within five father-son steps).	E202597	洪深	2	3	b
choronym-inferred	note	李叔仁 has no choronym in the print; it was inferred as 慶州 李 from the surrounding patriline (within five father-son steps).	E202889	李叔仁	2	5	a
choronym-inferred	note	田積 has no choronym in the print; it was inferred as 南陽 田 from the surrounding patriline (within five father-son steps).	E202898	田積	2	5	a
choronym-inferred	note	李密 has no choronym in the print; it was inferred as 慶州 李 from the surrounding patriline (within five father-son steps).	E402411	李密	2	5	b
choronym-inferred	note	趙年同 has no choronym in the print; it was inferred as 豊壤 趙 from the surrounding patriline (within five father-son steps).	EC04141	趙年同	2	5	b
choronym-inferred	note	李于蕃 has no choronym in the print; it was inferred as 全義 李 from the surrounding patriline (within five father-son steps).	E202977	李于蕃	2	6	a
choronym-inferred	note	辛銀宗 has no choronym in the print; it was inferred as 靈山 辛 from the surrounding patriline (within five father-son steps).	EC04155	辛銀宗	2	6	a
choronym-inferred	note	辛銀孫 has no choronym in the print; it was inferred as 靈山 辛 from the surrounding patriline (within five father-son steps).	EC04156	辛銀孫	2	6	a
choronym-inferred	note	辛銀㱓 has no choronym in the print; it was inferred as 靈山 辛 from the surrounding patriline (within five father-son steps).	EC04157	辛銀㱓	2	6	a
