biog_id	x姓名	name	generation	inferred_choronym
E904243	安邦	An Pang	20	
E503147	安忭	An Pyŏn	22	
E903140	安昌世	An Ch'angse	20	
E506098	安琛	An Ch'im	21	
E903131	安崇世	An Sungse	20	
E902050	安崇孝	An Sunghyo	18	
E902034	安崇信	An Sungsin	18	
D201535	安處	An Ch'ŏ	17	
E808134	安處亨	An Ch'ŏhyŏng	19	
E808133	安處元	An Ch'ŏwŏn	19	
E808135	安處貞	An Ch'ŏjŏng	19	
E806510	安琡	An Suk	19	
E904320	安從剛	An Chonggang	18	
EA03133	安從儉		18	
E900530	安從生	An Chongsaeng	18	
E401472	安從信	An Chongsin	19	
E201803	安琮	An Chong	21	
E201704	安得貴	An Tŭkkwi	17	
E400736	安得壽	An Tŭksu	16	
E203797	安德孫		18	
E904227	安迪		19	
E904254	安定	An Chŏng	20	
E201677	安芬	An Pun	17	
EB04232	安奉祖	An Pongjo	20	
E904193	安拊	An Pu	21	
E103733	安復志	An Pokchi	19	
E902056	安該	An Hae	19	
E401041	安剛		18	
E102780	安琯	An Kwan	20	
E203796	安貴孫		18	
E301400	安貴孫	An Kwison	20	
E400741	安貴孫	An Kwison	17	
E904244	安國	An Kuk	20	
D400727	安國瑞	An Kuksŏ	15	
D402328	安國祥	An Kuksang	15	
E903018	安好問	An Homun	19	
EB04246	安厚孫	An Huson	18	
E505911	安瑚	An Ho	21	
E503140	安懽	An Hwan	22	
EA04213	安廻石	An Hoesŏk	20	
E506116	安璣	An Ki	21	
EB04230	安季聃	An Kyedam	19	
E901486	安繼宋		21	
E201686	安繼性	An Kyesŏng	19	
E904148	安繼宗	An Kyejong	19	
E103736	安繼祖	An Kyejo	20	
E904149	安繼祖	An Kyejo	19	
E104603	安健	An Kŏn	20	
E101750	安節		20	
E904195	安瑾	An Kŭn	21	
E201773	安晉生	An Chinsaeng	19	
E101484	安進	An Chin	20	
D201678	安景	An Kyŏng	16	
E400271	安景儉	An Kyŏnggŏm	17	
E904250	安敬曾	An Kyŏngjŭng	19	
E904242	安敬慮	An Kyŏngnyŏ	19	
E203802	安敬孫		18	
E304303	安敬仝	An Kyŏngdong	18	
E904229	安敬止	An Kyŏngji	19	
E303970	安敬宗	An Kyŏngjong	19	
E904251	安敬宗	An Kyŏngjong	19	
E902592	安敬祖		18	
EB04231	安敬祖	An Kyŏngjo	20	
E201438	安俊	An Chun	19	
EA02441	安俊		19	
E102508	安克思	An Kŭksa	19	
E301542	安克祥		20	
EC01506	安良生	An Yangsaeng	19	
033d2309-fc88-4877-b9d3-ba6af5aa6840	安良孫		20	
EB04001	安率	An Sol	17	
E301351	安玫	An Ku	19	
EB04220	安孟聃	An Maengdam	19	1
EB04228	安夢卿	An Monggyŏng	22	
79ecaf98-e46a-48e1-ad12-b8811abe793a	安民		20	
E904247	安民	An Min	20	
E305089	安民老		18	
E202719	安訥	An Nul	19	
E903019	安盤石	An Pansŏk	20	
E900528	安彭耉	An P'aenggu	19	
E900536	安彭老	An P'aengno	19	
E900741	安彭命	An P'aengmyŏng	21	
E900738	安彭祖	An P'aengjo	19	
E903979	安貧世	An Pinse	20	
E903094	安平大君	Yi Yong	19	
E905023	安謙	An Kyŏm	19	
E104325	安慶會	An Kyŏnghoe	19	
E904122	安慶會		19	1
E902036	安詮	An Chŏn	19	
E904261	安仁剛	An In'gang	18	
E904191	安扔	An Ing	21	
E201460	安仍		19	
EB04221	安如獺	An Yŏdal	20	1
EA03156	安汝止	An Yŏji	20	
E200986	安潤德	An Yundŏk	20	
E700960	安潤福	An Yunbok	20	
E300360	安桑鷄	An Sanggye	21	
E808132	安善孫	An Sŏnson	18	
E102510	安湜	An Sik	20	
E900489	安軾	An Sik	18	
D206823	安守堅	An Sugyŏn	13	
E201431	安壽希	An Suhŭi	18	
E402568	安叔慶		17	
EC04002	安淑	An Suk	19	
EC00276	安璹	An Suk	18	
E400398	安望之	An Mangji	18	
D402327	安惟忠	An Yuch'ung	14	
E701469	安溫泉	An Onch'ŏn	21	
E201769	安吳生	An Osaeng	20	
E502138	安熙	An Hŭi	21	
E402444	安習		17	
E201771	安夏生	An Hasaeng	19	
E104602	安賢孫	An Hyŏnson	20	
E206846	安賢孫	An Hyŏnson	20	
E101619	安孝康	An Hyogang	19	
E904270	安孝悌	An Hyou	19	
E103551	安孝行	An Hyohaeng	20	
E904288	安孝友		19	
E904301	安孝忠		19	
E402355	安信		17	
E301396	安修道	An Sudo	19	
E104601	安修己	An Sugi	19	
EB04085	安修義	An Suŭi	18	
EB02949	安續	An Sok	20	
E901897	安璿	An Sŏn	21	
E503154	安恂	An Sun	22	
E902019	安訓	An Hun	20	
E305762	安琰	An Yŏm	19	
EB04227	安彦卿	An Ŏn'gyŏng	22	
E201170	安堯卿	An Yogyŏng	20	
D402439	安翊	An Ik	16	
E904317	安義剛	An Ŭigang	18	
E103352	安億壽	An Ŏksu	19	
E402349	安永貴	An Yŏnggwi	17	
EB04100	安友參	An Usam	20	
E101397	安友蹇		22	
E502137	安友三	An Usam	20	
058f3d0b-5ec8-4e83-8158-126e9f2384a5	安友商		21	
E902028	安友商	An Usang	21	
E301317	安友淵	An Uyŏn	21	
E802789	安友晢		21	
E900720	安有禮	An Yurye	19	
E900488	安有仁	An Yuin	19	
E900724	安有信	An Yusin	19	
E900706	安有義	An Yuŭi	19	
E900719	安有義	An Yuŭi	19	
E900725	安有楨	An Yujŏng	19	
E900723	安有智	An Yuji	19	
E103714	安愚	An U	20	
E303929	安榆	An Ryun	21	
bf35d905-3a77-474c-a2d4-3cc6fb9fa925	安玉丁		19	
EB04222	安元卿	An Wŏn'gyŏng	21	1
E402344	安原君		17	
E904908	安哲石	An Ch'ŏlsŏk	18	
E305086	安哲孫	An Ch'ŏlson	20	
E100861	安楨	An Chŏng	19	
c523b2f4-1887-4f24-8ca5-a13dec52135c	安正孫		20	
E904028	安知歸	An Chigwi	20	
E201930	安致方	An Ch'ibang	18	
E903126	安仲聃	An Chungdam	19	
E201685	安仲善	An Chungsŏn	18	
E203801	安重		19	
