source	source_name	target	target_name	type	child_order	wife_note	vol	leaf	side	checked	reference
D402440	李亮	E402445	李伯忠	HAS_SON	7		0	0	0	1	安東權氏成化譜
E203048	朝鮮 孝寧大君	E901150	李密	HAS_SON	4		0	0	0	1	安東權氏成化譜
E402645	李琚	E400630	金慶長	HAS_SIL	2	前夫	0	0	0	1	安東權氏成化譜
C206439	權仁幸	C206441	權冊	HAS_SON	1		1	1	a	1	安東權氏成化譜
C206441	權冊	C206442	權均漢	HAS_SON	1		1	1	a	1	安東權氏成化譜
C206442	權均漢	C206443	權子彭	HAS_SON	1		1	1	a	1	安東權氏成化譜
C206443	權子彭	C206444	權先蓋	HAS_SON	1		1	1	a	1	安東權氏成化譜
C206444	權先蓋	C206445	權廉	HAS_SON	1		1	1	a	1	安東權氏成化譜
C206445	權廉	C206446	權利輿	HAS_SON	1		1	1	a	1	安東權氏成化譜
C206446	權利輿	D206447	權仲時	HAS_SON	1		1	1	a	1	安東權氏成化譜
C206446	權利輿	D206448	權就宜	HAS_SON	2		1	1	a	1	安東權氏成化譜
C206446	權利輿	D206449	權通	HAS_SON	3		1	1	a	1	安東權氏成化譜
D206447	權仲時	D206450	權守平	HAS_SON	1		1	1	a	1	安東權氏成化譜
D206447	權仲時	D206463	權次平	HAS_SON	2		1	1	a	1	安東權氏成化譜
D206447	權仲時	D206464	權性源	HAS_SON	3		1	1	a	1	安東權氏成化譜
D206450	權守平	D206451	權韙	HAS_SON	1		1	1	a	1	安東權氏成化譜
D206451	權韙	D206452	權㫜	HAS_SON	1		1	1	a	1	安東權氏成化譜
D206451	權韙	D206454	金軌	HAS_SIL	2		1	1	a	1	安東權氏成化譜
D206451	權韙	D206457	權仁紀	HAS_SON	3		1	1	a	1	安東權氏成化譜
D206451	權韙	D206458	權英運	HAS_SON	4		1	1	a	1	安東權氏成化譜
D206451	權韙	D206459	權方紀	HAS_SON	5		1	1	a	1	安東權氏成化譜
D206451	權韙	D206460	權之紀	HAS_SON	6		1	1	a	1	安東權氏成化譜
D206452	權㫜	D400070	權溥	HAS_SON	1		1	1	a	1	安東權氏成化譜
D206460	權之紀	D206461	權瑩	HAS_SON	1		1	1	a	1	安東權氏成化譜
D206460	權之紀	D206462	權評	HAS_SON	2		1	1	a	1	安東權氏成化譜
C206438	權幸	C206439	權仁幸	HAS_SON	1		1	1	a	1	安東權氏成化譜
D206447	權仲時	D206465	權守洪	HAS_SON	4		1	1	b	1	安東權氏成化譜
D206465	權守洪	D206466	權子輿	HAS_SON	1		1	1	b	1	安東權氏成化譜
D206466	權子輿	D206467	權頙	HAS_SON	1		1	1	b	1	安東權氏成化譜
D206466	權子輿	D206474	權允平	HAS_SON	2		1	1	b	1	安東權氏成化譜
D206466	權子輿	D206480	權允保	HAS_SON	3		1	1	b	1	安東權氏成化譜
D206466	權子輿	D206490	權祖如	HAS_SON	4		1	1	b	1	安東權氏成化譜
D206466	權子輿	D206491	權份	HAS_SON	5		1	1	b	1	安東權氏成化譜
D206466	權子輿	D206495	權咸	HAS_SIL	6		1	1	b	1	安東權氏成化譜
D206466	權子輿	D206499	金允侃	HAS_SIL	7		1	1	b	1	安東權氏成化譜
D206467	權頙	D206469	權漢功	HAS_SON	1		1	1	b	1	安東權氏成化譜
D206467	權頙	D206472	權漢有	HAS_SON	2		1	1	b	1	安東權氏成化譜
D206474	權允平	D206475	權具	HAS_SON	1		1	1	b	1	安東權氏成化譜
D206474	權允平	D206477	權重	HAS_SON	2		1	1	b	1	安東權氏成化譜
D206474	權允平	D206478	權萬	HAS_SIL	3		1	1	b	1	安東權氏成化譜
D206480	權允保	D206481	權泂	HAS_SON	1		1	1	b	1	安東權氏成化譜
D206480	權允保	D206482	權演	HAS_SON	2		1	1	b	1	安東權氏成化譜
D206480	權允保	D206483	姜昌貴	HAS_SIL	3		1	1	b	1	安東權氏成化譜
D206480	權允保	D206485	權確	HAS_SON	4		1	1	b	1	安東權氏成化譜
D206480	權允保	D206486	李五椿	HAS_SIL	5		1	1	b	1	安東權氏成化譜
D206480	權允保	D206488	權珥	HAS_SON	6		1	1	b	1	安東權氏成化譜
D206480	權允保	D206489	權居南	HAS_SON	7		1	1	b	1	安東權氏成化譜
D206491	權份	D206492	權德秀	HAS_SON	1		1	1	b	1	安東權氏成化譜
D206491	權份	D206493	權用一	HAS_SIL	2		1	1	b	1	安東權氏成化譜
D206495	權咸	D206497	孫洪祐	HAS_SIL	1		1	1	b	1	安東權氏成化譜
D206499	金允侃	D206501	金時寶	HAS_SON	1		1	1	b	1	安東權氏成化譜
D206499	金允侃	D206502	金良信	HAS_SON	2		1	1	b	1	安東權氏成化譜
D206499	金允侃	D206503	金鼎臣	HAS_SON	3		1	1	b	1	安東權氏成化譜
D206499	金允侃	D206504	金景流	HAS_SON	4		1	1	b	1	安東權氏成化譜
D206448	權就宜	D206528	權棣和	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206449	權通	D206531	權英正	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206465	權守洪	D206511	方乞	HAS_SIL	2		1	2	a	1	安東權氏成化譜
D206465	權守洪	D206517	權良俊	HAS_SIL	3		1	2	a	1	安東權氏成化譜
D206465	權守洪	D206521	金利堅	HAS_SIL	4		1	2	a	1	安東權氏成化譜
D206499	金允侃	D206505	金用珠	HAS_SON	5		1	2	a	1	安東權氏成化譜
D206499	金允侃	D206506	曹誼	HAS_SIL	6		1	2	a	1	安東權氏成化譜
D206499	金允侃	D206508	權莅	HAS_SIL	7		1	2	a	1	安東權氏成化譜
D206499	金允侃	D206510	金資	HAS_SON	8		1	2	a	1	安東權氏成化譜
D206511	方乞	D206513	張茂	HAS_SIL	1		1	2	a	1	安東權氏成化譜
D206511	方乞	D206794	萬年	HAS_SIL	2		1	2	a	1	安東權氏成化譜
D206513	張茂	D206515	姜希京	HAS_SIL	1		1	2	a	1	安東權氏成化譜
D206517	權良俊	D206519	權精	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206519	權精	D206520	權奕	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206521	金利堅	D206523	權美	HAS_SIL	1		1	2	a	1	安東權氏成化譜
D206523	權美	D206525	權景	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206523	權美	D206526	金譿	HAS_SIL	2		1	2	a	1	安東權氏成化譜
D206528	權棣和	D206529	權傅	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206528	權棣和	D206530	權得元	HAS_SON	2		1	2	a	1	安東權氏成化譜
D206531	權英正	D206532	權均柱	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206531	權英正	D206533	權均碩	HAS_SON	2		1	2	a	1	安東權氏成化譜
D206533	權均碩	D206534	權直成	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206534	權直成	D206535	權伯	HAS_SON	1		1	2	a	1	安東權氏成化譜
D206534	權直成	D206537	權呂	HAS_SON	3		1	2	a	1	安東權氏成化譜
D206534	權直成	D206538	權允諧	HAS_SON	4		1	2	a	1	安東權氏成化譜
D206794	萬年	D206797	金碁	HAS_SIL	2		1	2	a	1	安東權氏成化譜
D206794	萬年	D206796	允文	HAS_SON	3		1	2	a	1	安東權氏成化譜
D400070	權溥	D402197	權準	HAS_SON	1		1	2	b	1	安東權氏成化譜
D401439	權廉	D402198	權鏞	HAS_SON	1		1	2	b	1	安東權氏成化譜
D401439	權廉	D206871	忠肅王	HAS_SIL	2	壽妃, 後夫	1	2	b	1	安東權氏成化譜
D401439	權廉	D402211	普達實理	HAS_SIL	3		1	2	b	1	安東權氏成化譜
D401439	權廉	D401422	柳惠孫	HAS_SIL	4	前室	1	2	b	1	安東權氏成化譜
D401439	權廉	D402227	權鉉	HAS_SON	5		1	2	b	1	安東權氏成化譜
D401439	權廉	D402052	權鎬	HAS_SON	6		1	2	b	1	安東權氏成化譜
D401439	權廉	D402248	權鈞	HAS_SON	7		1	2	b	1	安東權氏成化譜
D401439	權廉	D400429	權鑄	HAS_SON	8		1	2	b	1	安東權氏成化譜
D401439	權廉	D400365	元松壽	HAS_SIL	9	後室	1	2	b	1	安東權氏成化譜
D401439	權廉	D401564	吳仲和	HAS_SIL	10		1	2	b	1	安東權氏成化譜
D401439	權廉	D401698	廉國寶	HAS_SIL	11		1	2	b	1	安東權氏成化譜
D402197	權準	D401439	權廉	HAS_SON	1		1	2	b	1	安東權氏成化譜
D402197	權準	D402259	權迪	HAS_SON	2		1	2	b	1	安東權氏成化譜
D402197	權準	D402279	洪鐸	HAS_SIL	3		1	2	b	1	安東權氏成化譜
D402259	權迪	D402261	韓脩	HAS_SIL	1		1	2	b	1	安東權氏成化譜
D402259	權迪	D402274	權顯	HAS_SON	2		1	2	b	1	安東權氏成化譜
D402279	洪鐸	D402280	洪尙載	HAS_SON	1		1	2	b	1	安東權氏成化譜
D402279	洪鐸	D402285	洪惠贊	HAS_SON	2		1	2	b	1	安東權氏成化譜
D402279	洪鐸	D206873	忠惠王	HAS_SIL	3	忠惠王	1	2	b	1	安東權氏成化譜
D402279	洪鐸	D402288	趙興門	HAS_SIL	4		1	2	b	1	安東權氏成化譜
D402279	洪鐸	D402289	洪開道	HAS_SON	5		1	2	b	1	安東權氏成化譜
D402279	洪鐸	D402290	洪昌道	HAS_SON	6		1	2	b	1	安東權氏成化譜
D402279	洪鐸	D400343	元龜壽	HAS_SIL	7		1	2	b	1	安東權氏成化譜
D402279	洪鐸	D401000	廉大侑	HAS_SIL	8		1	2	b	1	安東權氏成化譜
D400070	權溥	D402327	安惟忠	HAS_SIL	2		1	3	a	1	安東權氏成化譜
D400070	權溥	D402380	權宗頂	HAS_SON	3		1	3	a	1	安東權氏成化譜
D400070	權溥	D401808	李齊賢	HAS_SIL	4	初室	1	3	a	1	安東權氏成化譜
D400727	安國瑞	D201678	安景	HAS_SON	1		1	3	a	1	安東權氏成化譜
D400727	安國瑞	D201738	崔仁富	HAS_SIL	2	前夫	1	3	a	1	安東權氏成化譜
D400727	安國瑞	D201776	鄭修道	HAS_SIL	3	後夫	1	3	a	1	安東權氏成化譜
D401077	洪彦博	D402303	洪師普	HAS_SON	1		1	3	a	1	安東權氏成化譜
D401077	洪彦博	D401075	柳淵	HAS_SIL	2		1	3	a	1	安東權氏成化譜
D401077	洪彦博	D402313	洪師禹	HAS_SON	3		1	3	a	1	安東權氏成化譜
D401808	李齊賢	D402382	李瑞種	HAS_SON	1		1	3	a	1	安東權氏成化譜
D401808	李齊賢	D402391	李係孫	HAS_SIL	4		1	3	a	1	安東權氏成化譜
D402197	權準	D401077	洪彦博	HAS_SIL	4		1	3	a	1	安東權氏成化譜
D402327	安惟忠	D402328	安國祥	HAS_SON	1		1	3	a	1	安東權氏成化譜
D402327	安惟忠	D402334	金珠慶	HAS_SIL	2		1	3	a	1	安東權氏成化譜
D402327	安惟忠	D400727	安國瑞	HAS_SON	3		1	3	a	1	安東權氏成化譜
D402327	安惟忠	D402352	金之甲	HAS_SIL	4		1	3	a	1	安東權氏成化譜
D402328	安國祥	D200028	楊之壽	HAS_SIL	2		1	3	a	1	安東權氏成化譜
